run_id,project,config,workflow,stage,energy_joules,duration_seconds,timestamp,python_version
32650861865,retrofit,C2,P03 Retrofit C2 Tests,test-execution,330.92,63.34,,
32650857465,retrofit,C1,P03 Retrofit C1 Tests,checkout,4.73981,1.75,,
32650857465,retrofit,C1,P03 Retrofit C1 Tests,test-execution,462.168,92.32,,
32650856273,got,C3,P02 got C3 Consolidated,dependency-installation,159.738,34.67,,
32650856273,got,C3,P02 got C3 Consolidated,test-execution,394.273,75.26,,
32650856273,got,C3,P02 got C3 Consolidated,checkout,4.73966,1.29,,
32650856273,got,C3,P02 got C3 Consolidated,dependency-installation,154.711,35.83,,
32650856273,got,C3,P02 got C3 Consolidated,test-execution,321.004,65.63,,
32650855320,got,C4,P02 got C4 Combined,checkout,8.58687,1.93,,
32650855320,got,C4,P02 got C4 Combined,dependency-installation,149.933,32.69,,
32650855320,got,C4,P02 got C4 Combined,test-execution,365.277,70.99,,
32650855320,got,C4,P02 got C4 Combined,checkout,3.82586,1.04,,
32650855320,got,C4,P02 got C4 Combined,dependency-installation,155.917,35.22,,
32650855320,got,C4,P02 got C4 Combined,test-execution,319.656,65.2,,
32650851659,got,C2,P02 got C2 Tests,checkout,3.8863,1.12,,
32650851659,got,C2,P02 got C2 Tests,dependency-installation,150.91,31.91,,
32650851659,got,C2,P02 got C2 Tests,test-execution,378.708,73.2,,
32650851659,got,C2,P02 got C2 Tests,checkout,5.10774,1.47,,
32650851659,got,C2,P02 got C2 Tests,dependency-installation,171.865,39.06,,
32650851659,got,C2,P02 got C2 Tests,test-execution,253.855,53.14,,
32650849902,got,C1,P02 got C1 Tests,dependency-installation,152.852,32.82,,
32650849902,got,C1,P02 got C1 Tests,test-execution,380.327,73.84,,
32650849902,got,C1,P02 got C1 Tests,dependency-installation,161.796,35.09,,
32650849902,got,C1,P02 got C1 Tests,test-execution,322.143,65.21,,
32650847948,httpie,C4,P01 HTTPie C4 Combined,checkout,5.16357,1.41,,
32650847948,httpie,C4,P01 HTTPie C4 Combined,dependency-installation,66.6361,16.6,,
32650847948,httpie,C4,P01 HTTPie C4 Combined,coverage,310.168,89.41,,
32650847948,httpie,C4,P01 HTTPie C4 Combined,dist-test,57.9099,14.32,,
